"shoulder.girth","chest.girth","waist.girth","navel.girth","hip.girth","thigh.girth","bicep.girth","forearm.girth","knee.girth","calf.girth","ankle.girth","wrist.girth","weight","height","gender"
"93.5","79.5","66.5","78.5","94","54","26.5","22.5","34","35","23","14.5","59","170","0"
"93.3","77","58","64","85.5","49.5","24.1","22","32.5","32","19","13.9","47.6","159.1","0"
"94.5","88","74.5","87","104","64","29.2","26.2","38.5","38","22","16.8","69.8","166","0"
"98.6","85","73.5","92","104.1","65.3","29","23.4","35.3","37.4","21.6","15.2","66.8","176.2","0"
"115.5","98.8","90.5","103.5","108.1","61.1","33.6","26.6","37.2","35.8","22.6","16.3","75.2","160.2","0"
"97.9","79","66.5","74","90.3","52","24.8","21","32.2","32.5","19.9","13.8","55.2","172.5","0"
"97.7","77.6","61","71.8","91.6","53","25.4","22.6","34","34.5","20.5","15.3","54.2","170.9","0"
"100.5","85","69.5","81.5","94.4","55.8","25.9","22.9","36.1","35.3","20.9","14.4","62.5","172.9","0"
"88.7","76.7","62","74.1","80.9","48.8","24","20.5","30.8","30.4","17.9","13.2","42","153.4","0"
"96.6","76.7","63.4","69","87.7","54","25.6","21.6","34.4","32.8","19.1","13.8","50","160","0"
"92","82","71","69","88.5","54.5","26","21.8","33.5","35","21","14","49.8","147.2","0"
"90","79","59","79","88.5","51.2","23.5","21","32.5","29.6","18.5","14.5","49.2","168.2","0"
"104","89.5","74","92","101","61.5","31","26.5","38.6","38.6","23.8","17","73.2","175","0"
"90.1","73.5","60.5","68.3","88.5","54","24.6","20.6","29","33","19","13.2","47.8","157","0"
"104","90","75","80.5","99","59","28.7","24.9","37","36.5","20.6","15.9","68.8","167.6","0"
"91","80","65","78.3","91","53.5","27","23","32","31.5","22","13.8","50.6","159.5","0"
"111.4","94.5","82.2","94.2","110.2","69","32.5","26.8","40.5","38.6","23","16.6","82.5","175","0"
"96.2","83.8","70.2","82.5","94.2","54.1","25.9","23.2","34.3","30.9","19.4","14.5","57.2","166.8","0"
"117.1","95.2","85","91.2","111","68","34.4","28.3","40.1","40","24.2","17.6","87.8","176.5","0"
"101.5","91","75","85","103","62","31.5","26.5","38.2","40","23","16","72.8","170.2","0"
"95.1","80","63","76.5","90","51.1","24.6","22.3","35.2","33.7","20.9","15.2","54.5","174","0"
"97.1","81.7","70","81.5","96","57.9","26.3","22.6","37.2","36","21","15","59.8","173","0"
"101.4","89.6","72.6","86.3","93.7","56.4","27.4","23.4","37","38.4","21.3","15.6","67.3","179.9","0"
"103.7","90.9","78.7","83.5","101.5","59.9","29.5","25.3","35.4","36.7","21.3","15.6","67.8","170.5","0"
"89.2","78.5","61","73","82.5","49.5","24.5","22.5","32.5","33","20.5","14.5","47","160","0"
"86","78","64.2","69.8","89","53","23.2","21.2","33","31.5","20.5","14","46.2","154.4","0"
"98.1","80.2","63.1","78.9","93.9","57.1","26.4","23.1","35","35","20.1","14.9","55","162","0"
"114","99","85","92.5","106.4","65.6","31.6","26.6","39.6","38.9","23.3","15.9","83","176.5","0"
"95","80","66","78","92","52.5","25","22.2","33","34.8","20.5","14.4","54.4","160","0"
"87","75.5","65","76.7","86","51","24.5","20.5","31.5","31","20","14","45.8","152","0"
"100.8","82.6","63.2","70.5","89.1","55.8","27","23.6","33.6","33.4","20","15.6","53.6","162.1","0"
"112.2","94.5","83.6","94.2","104.1","61.5","31","25.4","37.2","35.2","22.3","16.1","73.2","170","0"
"98.7","83.9","68","76.1","88","52.2","26.2","23.2","33.2","35.3","21.2","14.6","52.1","160.2","0"
"100.1","92.8","75.7","88.6","102.6","64.3","31","24.9","35.5","38","21.5","15.3","67.9","161.3","0"
"100.3","85.3","65.5","74.4","95.9","53.7","27.8","23.9","35.6","33.4","21.9","15.2","56.6","166.4","0"
"100.5","84.4","66.9","79.7","98.8","59.2","28.5","23.7","35.9","34.6","20","15.1","62.3","168.9","0"
"101.2","87.6","67.9","82.7","93.5","57","29.6","24.5","37.1","36.3","20.6","15.2","58.5","163.8","0"
"96","81","67.8","73","92.9","55.8","26.3","23","32.3","30","18.8","14.3","54.5","167.6","0"
"92.8","84.1","63.2","75","86.9","52.1","26.5","23.5","32.3","31.6","18.9","15","50.2","160","0"
"95.5","88.2","73.1","80","94.9","57.2","27","24.3","34.9","35.7","22","15.1","60.3","161.3","0"
"98.7","88.1","65.3","75.8","95.3","55.7","27.7","24.5","33.1","35.4","21.2","15.7","58.3","167.6","0"
"96.9","84.9","65.6","75.5","93.3","57.4","27.7","24.2","35.1","35.6","21","14.7","56.2","165.1","0"
"91","81.2","62.7","75.4","90","54","25.3","22.7","32.6","32.9","19.8","13.8","50.2","160","0"
"106.3","91.6","81.8","96.5","99.3","60.7","28.3","25.2","35","36.3","21.4","15.3","72.9","170","0"
"99.8","88.4","72.1","87.3","95.6","59.2","29","24.8","34.3","37.1","21.9","14.3","59.8","157.5","0"
"105","87.6","68.6","80.7","95.8","56.6","28.5","24.1","35.6","34","20.7","15.5","61","167.6","0"
"106.2","91.3","80","97.9","104.6","62.7","30","23.1","36.3","36","21","14.6","69.1","160.7","0"
"97.7","87.2","64.9","75.9","92.2","53.1","28","24.2","34","35.4","20.7","15.5","55.9","163.2","0"
"97.4","82.2","61.7","66","80.7","50.3","23.7","21.6","30.5","33.8","20.7","14.6","46.5","152.4","0"
"96.3","82.1","64","73.6","98.1","56.8","25.8","23.9","33.7","34","20.3","14.6","54.3","157.5","0"
"98","82.6","58.6","73","89.6","54.9","27.1","23.1","33.2","35.8","20.7","14.4","54.8","168.3","0"
"94.5","86.5","68.3","89.2","94","57","26","22.6","35.9","32.5","19.7","14.6","60.7","180.3","0"
"101.4","85.3","69.5","74.9","94.7","55.7","24.9","22.8","34.9","37.1","20.1","14.9","60","165.5","0"
"95.1","84.7","70.5","86.1","94.1","54.6","28","23","33.5","33.5","20","14.6","62","165","0"
"101.1","86.8","69.8","76.5","93.7","55.7","25.4","23.4","35.9","34.2","21.5","15.1","60.3","164.5","0"
"97.4","85.2","69","76.3","86.7","51.5","26.6","22.7","31.6","33.3","19.6","15.3","52.7","156","0"
"104.8","93.9","81","93.2","105.9","65.5","31.3","26.8","38.1","37.7","21.7","15.9","74.3","160","0"
"94.5","84.5","71","80.5","97.5","59.5","28","23","34","34.2","20.6","15","62","163","0"
"103.2","90.7","73.6","79.8","105.3","65.8","29.5","26.6","38.8","39.7","24.3","15.9","73.1","165.7","0"
"110.8","97.4","96.3","104.2","102.6","57.5","34.3","26.5","38.3","41.1","22.9","16.4","80","161","0"
"94.6","83.3","65","68.2","91.6","55.3","27.7","23.2","33","31.5","18.9","14.1","54.7","162","0"
"96.6","82.1","62.8","70.6","83.9","51.5","24.6","21.4","34","34.8","20.9","14.3","53.2","166","0"
"102.8","92.2","83","101.4","108.1","65","29.8","24.6","38.1","37.8","20.7","16.6","75.7","174","0"
"96.9","83.6","67.6","86.2","99.1","57.5","26.4","23.3","38.5","35","22.1","15.6","61.1","172.7","0"
"95.6","82.6","65.4","74.8","89.3","53.7","26.4","23.8","34","33.7","19.1","14.7","55.7","167.6","0"
"92.4","77","61.6","74","89.9","53.6","26.3","23.1","33.3","32.4","19","14.2","48.7","151.1","0"
"93.7","79.3","63.2","75.5","85.8","51.6","24.2","22.4","32.5","31.3","18.4","14.7","52.3","164.5","0"
"96.1","84.3","59.4","74","85.8","51","26.9","23","32.8","32.1","19.7","15","50","163.5","0"
"100.1","85.6","62.7","74","96","61.5","28","23.6","35.4","38.5","21.3","15.4","59.3","152","0"
"98.8","85","66.6","82","98.7","60.3","30.4","25.2","35.7","38.2","21.8","15.9","62.5","169","0"
"92.2","79.1","64.6","82.5","94.9","54","24.7","21.7","37.4","35.5","21","15","55.7","164","0"
"97.3","85","65.7","77.7","90.5","56.1","29.4","23.1","33.2","34.4","20.3","14.4","54.8","161.2","0"
"90.5","79","63","79.2","86.6","48.5","26.4","22.5","32.2","30.3","20.2","15","45.9","155","0"
"110.5","96.2","78.5","93.4","103","59.6","30.2","25.9","37","35.2","23.2","16.2","70.6","170","0"
"103","86","68.2","76.2","97.9","59.8","29.8","25","36.8","38.1","21.8","16.2","67.2","176.2","0"
"109","89.8","68.5","80.2","98.1","62","30.1","26.2","40.9","40.4","23.3","16.4","69.4","170","0"
"104.8","84.5","68.8","70.6","94.8","56.5","27","23.4","34.4","35.2","21.6","14.6","58.2","162.5","0"
"109.2","88.2","69","77.6","96.5","57.6","28.6","25.2","37","35","22.2","16.2","64.8","170.3","0"
"117","99.5","78","87.5","103","64.8","31.1","26.6","35.2","36.7","21.8","16.2","71.6","164.1","0"
"93.9","76.1","62","70.8","86.8","52.6","24.3","22.3","34.2","34.8","20.2","14.4","52.8","169.5","0"
"105.5","85.8","65.8","70.5","89.3","57.4","27","23.2","36.8","36.2","22.1","15.8","59.8","163.2","0"
"99.4","82","65","77.2","89.5","53.4","26","21.4","34","33.9","21.4","14.4","49","154.5","0"
"89.5","77.5","64.9","74.5","88.4","53.4","25.6","22.4","30.9","32.6","19.1","14","50","159.8","0"
"98.5","85.7","71.5","82","100.5","60.4","28","24.2","36.6","36.4","21.8","15.6","69.2","173.2","0"
"94.9","78.8","61.4","78.8","94","56.4","27.1","22.8","35.4","34.8","21","15","55.9","170","0"
"96.3","88","75.4","90","101.3","63.1","28.4","22.6","37.6","34.3","21.7","14.8","63.4","161.4","0"
"96.8","80.2","67.2","78.3","95.5","54.7","27","22.2","36","35.4","22.2","15.6","58.2","169","0"
"102.5","85.6","69.5","75.5","95.3","57.6","28.5","24.4","35.2","35.4","21.8","15.4","58.6","166.2","0"
"95.2","81.3","57.9","66.4","84.1","49","26.6","22.2","33.6","33","19.6","14","45.7","159.4","0"
"103","84.6","64.4","77.9","91","53.4","26.6","23.3","32.7","33","19.4","14.2","52.2","162.5","0"
"99.1","82.2","62.3","68.7","83.9","52.8","24.4","22.1","32.4","32.5","21","14.8","48.6","159","0"
"104.1","84.9","68.7","78.6","93.1","55.2","28.2","23.8","34.6","34.3","21.5","15","57.8","162.8","0"
"99.5","81.5","68","84.6","92.3","55.4","27.4","23","34.5","35.3","21.6","15.6","55.6","159","0"
"110.2","89.9","66","79.9","97.1","59","27","24.2","37.2","39","23.2","16.2","66.8","179.8","0"
"107.1","89.8","71.2","85.7","97.5","58.2","28.2","25.2","34.2","34","20.4","15.4","59.4","162.9","0"
"95.7","80.8","64.8","79.8","92","57.4","26.5","22.6","31","35.2","20.4","14.4","53.6","161","0"
"103.4","88.4","78","85.6","112.1","75.7","33.8","24.6","38.2","39.8","22","14.4","73.2","151.1","0"
"94.6","80.2","60.7","77","89.9","53.3","25.2","22.4","34.2","32.2","19","14.6","53.4","168.2","0"
"104.5","89.5","75","95","104.9","63.2","29.6","23.9","37.6","36.6","22","15.1","69","168.9","0"
"97.7","83.7","68.6","83","94.2","58","26.2","22.1","32.2","35.9","19.9","14.6","58.4","173.2","0"
"96.4","82.5","67.1","75","90.4","53.2","27.3","23.6","35.9","36.6","23.8","15.3","56.2","171.8","0"
"103","85.5","68","84.5","99.5","60.8","26.5","24.2","40.5","39.4","23.2","15.8","70.6","178","0"
"103.4","88.3","71","87.1","98.7","59.2","28.2","23.6","35.6","35.8","20.8","15.5","59.8","164.3","0"
"109.5","91.5","76","82.5","103.5","64.8","29.5","25.2","39.2","37","21.8","15.8","72","163","0"
"110.7","92.2","70.3","82.8","100","59.6","30.8","25.4","37","37","23","16","65.2","168.5","0"
"102.2","80.5","69.5","81","95.2","56.2","27.4","23.8","35.4","34","21.3","15.2","56.6","166.8","0"
"129.5","108","101.5","105.5","114","70","40.3","30.8","45.6","45","25.8","18.2","105.2","172.7","0"
"99.2","80","67.2","75.2","91.2","53.6","27.1","23.2","34.6","34.2","20.3","14.2","51.8","163.5","0"
"104.7","89.5","68.7","81","93.8","58","30","24.4","35.9","37.4","22","16","63.4","169.4","0"
"98.9","84.9","66","81","92","56.2","26.4","22.6","35.4","35.6","21","14.5","59","167.8","0"
"98.5","80.8","67.5","75.4","85.8","53.8","24.8","21.5","33","33","20","14","47.6","159.5","0"
"102.2","81","65.2","75.9","95.4","58.5","27.2","25.3","37.5","38.4","23.2","15.8","63","167.6","0"
"100.2","88.7","64.2","76.8","88.4","56","29","23.8","33.9","33.2","20.5","15","55.2","161.2","0"
"85.9","74.5","61","65.3","84.5","51.5","22.4","19.6","30.4","28.4","17.4","13.2","45","160","0"
"99.8","81.9","60.2","64.2","91.7","53.3","26","23.2","36","35.8","21.2","15.2","54","163.2","0"
"93.3","75.8","62.6","72.9","87.4","54","26.4","21.8","34.5","33","20.7","14.4","50.2","162.2","0"
"107.3","88","72.7","76.7","95.9","56.6","29.5","25.3","36.8","37.6","22.4","16.6","60.2","161.3","0"
"90","72.6","58.5","67.2","84.3","52.2","25","20.7","31.7","32","20.1","13.1","44.8","149.5","0"
"101.5","88","67.5","79.5","96.5","56.3","28.4","24.6","35.6","33.5","21.8","16","58.8","157.5","0"
"105.1","86","66.1","73.2","91.8","54.4","27.4","23.8","35","33","20.2","14.9","56.4","163.2","0"
"101","85.5","68","86.1","101","59.6","28","23.3","36.1","35.1","21.6","15.6","62","172.7","0"
"91.9","80.4","64","85","92.6","54.8","25.6","20.7","32.7","31.5","18.9","13.4","49.2","155","0"
"112.1","98.1","90.1","90.1","95.2","53.8","32.1","25.8","34.7","37.2","21.5","15.8","67.2","156.5","0"
"98.2","82","64.1","74.1","96","53.7","26.6","23.2","35.2","35","21","14.8","53.8","164","0"
"102.5","89","72.4","80.3","89.9","52.6","27.6","23.8","33.2","34.4","21.3","14.6","54.4","160.9","0"
"98.4","85.8","71","85","92.7","57.3","28.4","23.6","34.2","34","19.8","13.8","58","162.8","0"
"96.8","85.9","69.1","77.2","94.1","56.2","28.9","23.1","35","34.4","20","15","59.8","167","0"
"103.9","82.5","66.1","74.9","93.8","54.2","27.8","24","35.3","33.7","22","14.6","54.8","160","0"
"92.7","74.5","59.5","65.5","78.8","46.3","23.2","20.8","31.6","29.6","18.6","13.8","43.2","160","0"
"105","89.4","71.5","80.6","96","56.9","26.8","22","33.8","33.5","21.1","15.3","60.5","168.9","0"
"94","80.3","65","73.3","84.9","50.8","25","22.2","31.6","31.6","18.8","14.2","46.4","158.2","0"
"101.5","85.6","71.5","82","97.5","63","28.4","23.5","39.1","38.2","20.4","14.4","64.4","156","0"
"92","83","63","72","86","53","24.1","22","30","31.2","20.4","14.4","48.8","160","0"
"108.5","88.2","70","81.2","96.8","59.8","30.1","25.2","35.8","35","21.7","16","62.2","167.1","0"
"93.8","85.5","70.4","82.4","93.5","57.5","28.3","21.9","33.1","32.8","19","13.9","55.5","158","0"
"99.8","80.6","64.3","75","93","55.6","28.2","23.8","35.6","35.5","22","15.5","57.8","167.6","0"
"100.3","81","66","73.2","90.2","54.8","26.8","23.8","34.7","34.5","21.4","15.2","54.6","156","0"
"101.5","83.6","70.5","78.5","91.9","56.8","30.5","24.3","35.8","36.9","20.4","15.7","59.2","162.1","0"
"94.7","79.4","62","73","88.5","53.6","24.7","22.4","33.5","33","19.4","14.5","52.7","173.4","0"
"103.1","82.9","67.6","73.9","90.2","56.4","30.2","24.2","34.1","33.8","20.6","14.8","53.2","159.8","0"
"94.5","83.2","65","80.9","97.6","62.2","27.2","22.8","38.6","37.4","20.6","14.8","64.5","170.5","0"
"97.1","78.1","64","75.9","95","55.9","25.2","23","32.3","34.8","20.3","13.4","51.8","159.2","0"
"98","82.4","70.5","81.6","98","61.4","27.2","23.2","35.6","30.5","20.1","14.6","56","157.5","0"
"102.4","90","79.2","95.2","97.4","61.7","27.8","23.4","36","35.7","23.8","14.1","63.6","161.3","0"
"109.1","92.4","71.1","91.5","98.2","55.3","29.6","24.6","34.3","36.6","20.7","15.6","63.2","162.6","0"
"94.7","86.7","74.7","90.8","100","59.4","31","23.7","35.7","34","20.9","14.2","59.5","160","0"
"98.2","84","62.9","76.8","95.5","52.8","26.4","23.1","34.6","32.3","20.4","14.7","56.8","168.9","0"
"101.5","86","70.6","91.9","101.9","62","29.1","24.2","37.2","33.1","19.9","15","64.1","165.1","0"
"96.6","84.5","61.6","81","87.6","51.6","27.4","23.7","32.4","32.9","20.3","14.6","50","162.6","0"
"106.1","91.2","74.2","98.2","102.6","61.5","31.4","25","37.6","41.9","24.3","15.4","72.3","165.1","0"
"100.1","81.1","65.5","82.3","90.4","53.3","26.8","22.3","34.2","33.4","21.5","14.5","55","166.4","0"
"105.3","87.6","67.7","84.2","92","54.3","28.2","23.8","33","32.7","18.8","14.7","55.9","160","0"
"99.8","88.2","72.9","97.4","102.2","60.1","29.9","24.1","33.8","33.5","21","15.1","60.4","152.4","0"
"103.9","88.2","72.1","96.3","106.7","62","27.3","23.1","34.6","35.6","23.5","14.7","69.1","170.2","0"
"111","104.2","93.4","111.1","109.8","67.7","35.7","28.6","41.5","38.6","22.3","17.3","84.5","162.6","0"
"99","84.8","60.7","78","89.1","52.6","26.6","22.8","32.5","34.6","21.2","14.1","55.9","170.2","0"
"102.5","84.3","69.2","85.3","93","53.9","27.9","23.7","35.5","33.1","21.9","15.1","55.5","158.8","0"
"105.6","91","75.5","90.7","98.6","62.7","31.5","24.8","37.2","35.4","20.3","14.6","69.5","172.7","0"
"99.5","90.5","85.6","111.7","112.1","64.3","31.3","25","35.5","38","21","14.6","76.4","167.6","0"
"106.5","89.6","71.6","92.7","95","56.8","27.2","24.3","36.2","35.8","20.1","14.6","61.4","162.6","0"
"104.1","89.3","75.5","98.9","100.2","57.8","30.3","23.8","37.3","37","22.5","15.1","65.9","167.6","0"
"99.7","90","73.7","92.7","101.2","57.4","28.1","23.3","33.9","33.3","21.2","14.9","58.6","156.2","0"
"106.6","88.2","67.9","86.9","100.8","60.2","31","26.6","36.6","38.5","22.2","16","66.8","175.2","0"
"97.2","83.5","71.2","83","96.5","52.4","25.2","21.7","33.7","32.1","21","15","56.6","172.1","0"
"100.8","91","69.3","85.9","93.2","55.4","29.7","24.1","34.8","34.6","21.5","14.6","58.6","162.6","0"
"100.7","88.2","75.6","94.7","95.8","58.5","30","22.2","34.6","32.6","19.9","13.7","55.9","160","0"
"99.1","82.2","63.8","81.8","97.6","59","27.8","23.6","35.9","35.5","22.6","15.4","59.1","165.1","0"
"108.9","98.9","83.6","108.6","108.3","63","31.9","26","38.1","36.4","24.5","16","81.8","182.9","0"
"109.8","97.9","84.9","98","102.4","59.9","32","25.7","37.6","33.7","21.6","15.5","70.7","166.4","0"
"99.5","81.7","66","85","94.3","56.4","28","21.1","32.1","34.3","21","14.4","56.8","165.1","0"
"100.5","86.1","68.3","85.3","96.5","55.1","26","22.6","33.9","33.7","21.8","15","60","177.8","0"
"97.4","87.1","63.8","88.3","94","56.1","28.1","24","33.1","35.2","22.1","16","58.2","165.1","0"
"105","76.8","73.6","106.3","106.2","61.7","31.4","26.2","39.6","39.1","24.8","16.2","72.7","175.3","0"
"102.9","87.9","76.3","93.8","98.6","55.5","31.2","23","32.3","31.3","20.3","15.1","54.1","154.9","0"
"93.9","81.6","58.8","77.4","89.3","51.6","25.4","22.4","33.8","32.4","21","14.8","49.1","158.8","0"
"114.2","92.3","78","100.9","106.9","65.5","31.7","26.3","38.5","39.7","22.8","15.6","75.9","172.7","0"
"95.9","81.3","64.5","80.8","91.9","53.4","25.1","23.1","34.6","32.7","21.4","14.6","55","168.9","0"
"98.7","82.2","65.8","80.2","89.1","55.4","28.4","22.9","33.6","35","19.7","14.8","57.3","161.3","0"
"91.2","78.6","62.5","84.5","95.5","57.3","27.4","22.4","35.1","35.7","20.4","14.8","55","167.6","0"
"105.1","94.3","77.5","93.9","101.1","61.6","28.3","23","36.5","34.6","21.9","14.7","65.5","165.1","0"
"102.3","89.5","70","89.6","98.9","55","29.3","25","35.6","36.6","22.5","16.4","65.5","175.3","0"
"93.1","81","59.4","73.7","83.3","50.2","26.9","22.5","31.7","30.7","20.5","15.2","48.6","157.5","0"
"101.7","85.4","68.3","84","94","57.3","29.8","24.7","32.7","34.3","21.7","15.4","58.6","163.8","0"
"105","86.2","77.9","96","100.1","60.7","28.4","24.3","34.7","34.5","20.9","14.9","63.6","167.6","0"
"96.4","85.3","68.3","88","93.8","54.7","27.7","24.4","32.7","33","19.6","14.9","55.2","165.1","0"
"103.5","86.1","72","91.9","103.9","57.5","27.4","22.4","36.3","37.9","23.4","14.5","62.7","165.1","0"
"99.8","84.5","62.7","78.3","93.5","52.5","24.2","23.3","32.8","36.1","22","14.8","56.6","168.9","0"
"87","72.6","58","82.9","90.2","52.5","23.1","21","35.5","36.4","20.3","13","53.9","162.6","0"
"105.2","90","72.7","97.2","100.2","57.9","30.5","23.7","36.3","34.3","20.5","14.8","63.2","164.5","0"
"102.1","95.8","85.4","105.2","109.5","68.3","29.7","24.5","40.3","37","22.4","15.3","73.6","176.5","0"
"101.3","85.5","67.3","86.9","97.6","58.8","27.2","22.6","38.3","35.6","21","14.6","62","168.9","0"
"99.6","85.7","70.8","92.1","96.9","57.9","29.3","24.2","36.5","35.3","20.3","15.4","63.6","175.3","0"
"99.4","85.4","67.4","85.9","90.3","54.7","26.9","22.3","32.8","29.5","18.7","13.7","53.2","159.4","0"
"99.4","79.1","66","85","94.8","57.4","26.8","22.9","32.2","32.6","19.2","14.6","53.4","160","0"
"99","84.4","63.6","84.9","92.7","54.4","26.7","23.7","33.5","33.6","20.2","14.6","55","170.2","0"
"108.2","90","71.7","95.8","108.4","68.5","28.7","25.9","40.5","39.5","23.3","15.6","70.5","162.6","0"
"96.4","82.9","73.6","86.9","94.7","52.9","25","21","31.6","30.2","19.3","13.6","54.5","167.6","0"
"101.4","87.3","66.9","83.3","90.6","54.4","28.9","23.8","33.9","33.9","20.8","15.5","54.5","162.6","0"
"98.2","85.3","65.5","76.7","90.8","56.4","27.3","24.3","33.1","35","20.7","14.2","55.9","160.7","0"
"100.6","87.3","70.4","91.1","96.7","55.6","29.9","23.7","35.3","33.8","23","16.3","59","160","0"
"108.4","93.2","80.3","98","101.2","61.2","31","23.6","34.6","35.6","20","14.3","63.6","157.5","0"
"100.8","84.7","65","84.5","94.7","54.8","28.9","24.4","34.7","34.8","22.5","15.3","54.5","162.6","0"
"94.8","78","60.4","79.2","87","49.5","26.8","22.7","33.2","31.5","18.8","14.7","47.3","152.4","0"
"108.2","90.7","75.3","96.3","103.6","59.9","31.5","25.4","35.7","35.8","21.1","16.3","67.7","170.2","0"
"110.7","95","83.4","100.5","107.5","67.4","34.2","28.3","40.9","41.2","23.4","15.6","80.9","165.1","0"
"102.6","88.7","72.2","87.8","96.1","61.1","29.5","24.6","39.1","38.7","26","15.5","70.5","172.7","0"
"98.1","86.6","70.1","86.2","97.6","55.6","27.6","23.7","34.9","32","21.1","15.3","60.9","165.1","0"
"92","82.5","69.8","86.4","100.2","59","26.7","23.3","33.5","33.1","19.6","14.2","63.6","170.2","0"
"98.6","81.4","66.4","78.5","91.6","54.6","24.2","21.2","33","34.3","20.2","15","54.5","170.2","0"
"96.1","79.9","61.7","79.7","94.7","56.5","25.5","23.2","36.7","36.2","22","14.8","59.1","170.2","0"
"107.7","91.1","76.4","98.3","107","64.5","32.8","24.8","36.5","36.2","23.9","15.5","70.5","161.3","0"
"95.4","80.1","63.8","72.5","86.3","51.5","24.4","22","32","32.6","21","14","52.7","167.6","0"
"99.3","86.4","70.2","86.7","97.8","58.5","28.3","24.9","35.5","36.3","21.4","15.3","62.7","167.6","0"
"115.2","105.2","88.2","106.5","107.9","63.1","30.3","25.2","39.2","38.4","23.1","16.4","86.3","165.1","0"
"96.7","91.1","75.8","94.4","103.3","60.5","30.4","24.8","36.8","35.9","21.8","15.5","66.4","162.6","0"
"109","96.7","81.5","94.1","94.9","54.8","31.2","25.8","34.4","37.3","21.8","14.6","67.3","152.4","0"
"95.1","80.5","67.4","77.7","95.1","56.3","27","24.3","36.2","36.7","23.7","15.9","63","168.9","0"
"108.4","90.4","78.3","95.4","104.9","63.1","32.8","27","39.4","39.1","23","16.5","73.6","170.2","0"
"98.2","84.1","65.9","83.7","96.3","57","26.6","23.7","35.6","34","21.7","15.1","62.3","175.2","0"
"99.7","84.2","62.4","81.4","90.4","53.2","25.8","23","34.5","31","19.2","14.7","57.7","175.2","0"
"94.4","82.5","65.6","81.8","92.8","56.2","28.8","24.7","33","34.6","21.7","15.8","55.4","160","0"
"127.1","106.9","96.2","121.1","128.3","72.3","35.9","30.6","49","45.4","24.1","17.8","104.1","165.1","0"
"94.9","79.9","62.5","74","87.6","51.6","25.7","21.9","31.7","34.7","18.5","13.9","55.5","174","0"
"98.9","93","80.5","98.8","107.2","63","34.1","27.6","38.8","38.2","22.2","16.3","77.3","170.2","0"
"106.4","96.3","86.1","107.4","112","69.4","31.7","25.5","39.4","38.7","23.7","16.3","80.5","160","0"
"102.2","86.8","71.3","85.7","94","59.2","31.1","24.4","35.9","34.4","21.2","14.2","64.5","167.6","0"
"110.3","95.3","79.4","90.9","102.7","63","29.9","24.9","38.7","36.3","21.3","15.5","72.3","167.6","0"
"107.3","93","72.3","89","92","54.7","28.8","23.2","35","34.2","20.5","14.8","61.4","167.6","0"
"95","86.4","67.4","86.7","98.4","59.1","29.3","23.1","35.6","37.4","22.5","14.4","58.2","154.9","0"
"115.6","109","94.2","110.5","103.5","57.8","35.7","25.6","34.8","35.5","19.5","15","81.8","162.6","0"
"99.3","86.2","67","85.3","96.7","56.2","27","22.3","37","33","21.6","15","63.6","175.3","0"
"93.1","85.3","69.5","86.2","90.6","51.7","24.4","22.1","33.9","30.8","19.9","14.1","53.4","171.4","0"
"94.9","84.2","66.4","79.3","92","53.4","24.9","22.3","32.5","31.7","21.7","13.4","54.5","157.5","0"
"100","83.7","67.6","84.1","90.4","52.4","25.6","23","34.5","32.5","21.7","14.6","53.6","165.1","0"
"98.6","86.5","66.6","87.5","96.7","59.3","27.3","24","36","34.9","21.4","14.6","60","160","0"
"107.2","98.2","69.7","86","94.9","59.1","29.9","25","37.7","37.7","23.7","16.2","73.6","174","0"
"98.3","88","72","86","95.5","57.3","27.6","23.3","35.2","31.9","19.6","15.4","61.4","162.6","0"
"92.4","80.4","64.5","81.7","88.4","52.4","25.5","23","34.5","32.7","20.3","14.9","55.5","174","0"
"93","86","72.3","91.7","97.8","59.1","31","26.3","39.9","39.7","21.6","15.4","63.6","162.6","0"
"99.5","86.4","69.1","87.8","95.4","59.5","28.3","24.7","35.6","34.6","23","16.6","60.9","161.3","0"
"92.8","87.6","74.7","77","97.7","57","28.1","23.1","34.4","32.7","20.9","15.2","60","156.2","0"
"95.9","80.9","60.8","77.4","84.6","51","26.8","22.8","34.4","33.1","21","15.4","46.8","149.9","0"
"96.1","82.1","66.9","82.4","91.6","53.4","26.2","22.6","35","35.2","22.4","15.2","57.3","169.5","0"
"98.5","89.3","68.8","90.8","103.3","63","29.6","25.1","34.4","35","21","15.9","64.1","160","0"
"103.8","85.3","63.7","85.3","96.3","55.5","26.4","23","36.5","34.1","21.3","15","63.6","175.3","0"
"105","89","71.2","86.1","93.5","56.1","30.2","24.4","37","37.5","22.6","15.7","67.3","169.5","0"
"100.2","94.1","79.6","103.5","104.3","66.5","36.9","29","40.3","37.9","24.6","16.4","75.5","160","0"
"99.1","90.8","77.9","90.6","96.3","56.2","28.1","24.3","38.2","36.6","22.3","15.4","68.2","172.7","0"
"107.6","97","69.6","90.2","98.3","56.3","32","25.1","32.3","33.8","20.8","15.9","61.4","162.6","0"
"104","95.4","86","107.1","112.1","64.4","32.3","26.4","35.7","37","21.4","15.8","76.8","157.5","0"
"108.4","91.8","69.9","90.4","101","60.6","30.3","25.4","37.7","37.9","22.4","15.4","71.8","176.5","0"
"99.3","87.3","63.5","79.2","89.5","55.2","30.1","23.6","35.6","33.3","22.4","15.2","55.5","164.4","0"
